Model,Noise,Acc (mean),Acc (std),Eff Rank (mean),Eff Rank (std)
Dense None,0.0,97.5%,0.1%,38.5,0.7
Dense Full,0.4,98.0%,0.0%,26.0,0.3
CP fixed R=16,0.0,89.8%,0.4%,3.3,0.2
CP fixed R=32,0.0,90.6%,0.2%,3.4,0.2
CP fixed R=64,0.0,91.0%,0.1%,3.4,0.1
CP fixed R=128,0.0,91.5%,0.2%,3.7,0.1
CP fixed R=256,0.0,91.9%,0.1%,3.7,0.1
CP lambda R=16,0.0,92.5%,0.2%,7.1,0.5
CP lambda R=32,0.0,81.2%,25.6%,14.3,11.6
CP lambda R=64,0.0,93.0%,0.1%,11.6,0.5
CP lambda R=128,0.0,93.3%,0.1%,14.9,0.5
CP lambda R=256,0.0,93.8%,0.1%,17.5,0.4
CP gated R=16,0.0,92.4%,0.3%,7.3,0.4
CP gated R=32,0.0,92.7%,0.2%,8.8,0.5
CP gated R=64,0.0,93.0%,0.1%,11.7,0.3
CP gated R=128,0.0,93.3%,0.1%,14.8,0.2
CP gated R=256,0.0,93.8%,0.2%,17.3,0.5
