letter,letter_idx,similarity_mean,similarity_std,rank
O,14,0.4306458592414856,0.026144773205195388,1
X,23,0.41978058218955994,0.016899069883086662,2
I,8,0.404204386472702,0.011865919504726857,3
L,11,0.4014976382255554,0.01409912577473183,4
N,13,0.39949640035629275,0.023981371071136293,5
T,19,0.3888736546039581,0.012809118008988086,6
E,4,0.3877262055873871,0.014501615490201536,7
C,2,0.385715651512146,0.02563140062710379,8
S,18,0.3744065582752228,0.0287733435599708,9
Z,25,0.3714845895767212,0.02647590880844387,10
B,1,0.3699238121509552,0.02095549546858152,11
V,21,0.36290310621261596,0.024489091777483398,12
F,5,0.3607060194015503,0.01701119474989244,13
H,7,0.3593768417835236,0.020255659247079474,14
U,20,0.3573899149894714,0.022319164838855387,15
Y,24,0.3557539403438568,0.024172509399233127,16
J,9,0.3446501731872559,0.012543721549144123,17
K,10,0.34347510933876035,0.01596187204880126,18
M,12,0.3338280737400055,0.017131793494911254,19
A,0,0.33238556385040285,0.011706421799633453,20
R,17,0.3302774250507355,0.019087395537349734,21
P,15,0.327640438079834,0.020095841479654816,22
G,6,0.32399179339408873,0.024416591030656413,23
Q,16,0.3236781656742096,0.023749810859699936,24
W,22,0.3200317621231079,0.020565636613170686,25
D,3,0.3122663855552673,0.010360391995883941,26
